origin,ground_truth,latency,hops
RIPE,AF,244.8585,18.5
RIPE,AF,162.90925,18.75
RIPE,AO,200.25425,19.25
RIPE,AO,198.148,19.5
RIPE,AL,106.729,12.5
RIPE,AL,151.757,9.75
RIPE,AL,118.4025,12.25
RIPE,AE,188.882,17.0
RIPE,AE,213.136,19.0
RIPE,AE,251.833,13.75
RIPE,AE,242.22625,20.25
RIPE,AE,203.0935,17.0
RIPE,AE,185.16175,17.25
RIPE,AE,208.7175,18.0
RIPE,AE,182.21025,17.0
RIPE,AE,163.18975,12.5
RIPE,AE,141.98375,17.0
RIPE,AE,158.5875,19.75
RIPE,AE,130.208,18.5
RIPE,AE,127.10225,17.5
RIPE,AE,137.20625,20.5
RIPE,AE,135.28075,13.25
RIPE,AR,223.1995,16.25
RIPE,AR,225.2325,20.25
RIPE,AR,242.33575,18.25
RIPE,AR,247.39325,18.0
RIPE,AR,271.92075,12.25
RIPE,AR,238.3245,15.5
RIPE,AR,244.24525,13.5
RIPE,AR,231.72375,20.0
RIPE,AR,252.454,20.0
RIPE,AR,248.35125,13.5
RIPE,AR,223.3755,16.25
RIPE,AR,229.6235,20.5
RIPE,AR,224.58725,20.5
RIPE,AR,242.19475,18.25
RIPE,AR,235.12725,18.25
RIPE,AR,277.96575,12.0
RIPE,AR,238.77925,15.25
RIPE,AM,95.62,12.0
RIPE,AM,78.0255,11.75
RIPE,AM,95.488,11.75
RIPE,AU,289.9755,17.75
RIPE,AU,314.3695,15.75
RIPE,AU,246.88075,11.25
RIPE,AU,293.30725,13.5
RIPE,AU,273.18725,9.25
RIPE,AU,282.8535,15.0
RIPE,AU,287.316,15.5
RIPE,AU,290.48175,11.0
RIPE,AU,275.59725,13.0
RIPE,AU,282.87925,13.5
RIPE,AU,248.10075,14.25
RIPE,AU,272.52175,3.25
RIPE,AU,267.32375,12.25
RIPE,AU,270.85325,5.25
RIPE,AU,288.52675,11.0
RIPE,AU,260.47025,11.5
RIPE,AU,299.72575,14.5
RIPE,AU,277.643,11.5
RIPE,AU,268.254,20.5
RIPE,AU,269.912,8.5
RIPE,AU,285.03375,17.0
RIPE,AU,285.81625,15.25
RIPE,AU,282.9205,17.25
RIPE,AU,278.1665,11.75
RIPE,AU,298.264,14.5
RIPE,AU,259.88575,11.75
RIPE,AU,267.8855,5.25
RIPE,AU,306.01975,18.0
RIPE,AU,376.30675,14.5
RIPE,AU,271.788,9.75
RIPE,AU,261.0985,20.5
RIPE,AU,289.143,11.5
RIPE,AU,272.913,8.75
RIPE,AU,287.73025,13.25
RIPE,AU,292.94525,13.5
RIPE,AU,275.2965,11.5
RIPE,AU,281.706,16.0
RIPE,AU,304.987,15.25
RIPE,AU,227.179,11.0
RIPE,AU,302.471,13.25
RIPE,AU,267.73325,12.0
RIPE,AU,272.252,3.75
RIPE,AT,54.8925,14.0
RIPE,AT,50.48675,17.25
RIPE,AT,46.771,17.5
RIPE,AT,49.008,14.5
RIPE,AT,45.89025,19.75
RIPE,AT,54.3895,11.0
RIPE,AT,39.33275,18.0
RIPE,AT,48.905,15.0
RIPE,AT,57.41225,14.0
RIPE,AT,37.858,17.0
RIPE,AT,46.18025,14.0
RIPE,AT,42.5245,20.0
RIPE,AT,42.267,15.25
RIPE,AT,40.771,1.25
RIPE,AT,40.53375,19.0
RIPE,AT,52.70225,11.25
RIPE,AT,44.64275,18.5
RIPE,AT,44.148,15.25
RIPE,AT,61.32425,20.0
RIPE,AT,43.2115,19.5
RIPE,AT,41.44475,17.25
RIPE,AT,42.80225,20.25
RIPE,AT,36.55775,10.5
RIPE,AT,43.661,18.25
RIPE,AT,40.923,20.5
RIPE,AT,43.24175,19.5
RIPE,AT,41.487,15.75
RIPE,AT,49.93175,14.0
RIPE,AT,39.7885,17.5
RIPE,AT,40.56875,15.25
RIPE,AT,49.23075,20.0
RIPE,AT,45.2115,10.5
RIPE,AT,39.8325,15.0
RIPE,AT,48.93125,14.75
RIPE,AT,43.518,14.0
RIPE,AT,44.48375,19.0
RIPE,AT,45.915,14.25
RIPE,AT,112.70875,17.75
RIPE,AT,40.79275,15.0
RIPE,AT,46.46325,15.0
RIPE,AT,44.56575,20.75
RIPE,AT,43.02875,17.0
RIPE,AT,46.33825,19.5
RIPE,AT,43.26075,19.75
RIPE,AT,44.05125,19.5
RIPE,AT,42.96075,18.0
RIPE,AT,36.6875,17.0
RIPE,AT,41.09375,17.75
RIPE,AT,51.74925,10.0
RIPE,AT,43.1765,17.25
RIPE,AT,43.973,14.0
RIPE,AT,52.56525,11.0
RIPE,AT,42.66225,19.75
RIPE,AT,41.78025,18.0
RIPE,AT,40.4325,1.75
RIPE,AT,39.84325,20.5
RIPE,AT,42.03525,20.25
RIPE,AZ,96.8615,19.25
RIPE,AZ,91.6345,19.5
RIPE,BE,28.54025,14.0
RIPE,BE,38.84725,15.0
RIPE,BE,29.68175,14.0
RIPE,BE,27.00825,18.0
RIPE,BE,28.70825,12.25
RIPE,BE,26.73525,18.25
RIPE,BE,40.0285,16.0
RIPE,BE,31.261,13.0
RIPE,BE,28.96825,18.25
RIPE,BE,26.87725,1.25
RIPE,BE,40.75975,16.0
RIPE,BE,38.7,18.25
RIPE,BE,29.527,12.25
RIPE,BE,33.064,14.0
RIPE,BE,33.32075,13.0
RIPE,BE,24.31275,14.25
RIPE,BF,134.16,5.75
RIPE,BG,64.276,17.75
RIPE,BG,67.374,19.5
RIPE,BG,55.7855,21.5
RIPE,BG,51.3885,15.0
RIPE,BG,57.0205,19.25
RIPE,BG,52.95775,19.25
RIPE,BG,53.4345,20.75
RIPE,BG,53.142,20.0
RIPE,BG,73.29875,19.25
RIPE,BG,75.24875,19.0
RIPE,BG,56.35575,19.25
RIPE,BG,51.43425,21.0
RIPE,BG,52.75275,21.5
RIPE,BG,64.66075,19.0
RIPE,BG,60.81875,17.25
RIPE,BG,56.50925,19.5
RIPE,BG,52.11,20.5
RIPE,BG,51.395,19.0
RIPE,BG,53.844,19.25
RIPE,BG,70.56225,15.25
RIPE,BG,53.0935,20.0
RIPE,BA,55.536,10.25
