id,origin,ground_truth,guess,ip_v4,ip_v6,latency,hops,count,date_time
3583,RIPE,AF,,152.36.205.46,2400:e500:0:2::1ce,244.8585,18.5,4,2026-04-10 14:41:52.648102
7278,RIPE,AF,,152.36.205.46,2400:e500:0:2::1ce,162.90925,18.75,4,2026-04-10 14:41:52.968442
2310,RIPE,AO,,102.130.66.11,2c0f:f828:2:100:102:130:66:11,200.25425,19.25,4,2026-04-10 14:41:53.090806
7239,RIPE,AO,,102.130.66.11,2c0f:f828:2:100:102:130:66:11,198.148,19.5,4,2026-04-10 14:41:53.422682
4212,RIPE,AL,,185.33.109.6,,106.729,12.5,4,2026-04-10 14:41:53.748517
6295,RIPE,AL,,194.1.149.210,2001:7f9:4::10,151.757,9.75,4,2026-04-10 14:41:53.817067
7529,RIPE,AL,,185.33.109.6,,118.4025,12.25,4,2026-04-10 14:41:54.259229
2825,RIPE,AE,,80.77.4.60,2001:1a00:acca:130d::4,188.882,17.0,4,2026-04-10 14:41:54.358749
2581,RIPE,AE,,94.203.76.219,2a00:f28:f::219,213.136,19.0,4,2026-04-10 14:41:54.514618
4028,RIPE,AE,,45.148.64.254,2a14:48c7:0:1::feed,251.833,13.75,4,2026-04-10 14:41:54.892348
3387,RIPE,AE,,63.222.248.5,2400:8800:e011::5,242.22625,20.25,4,2026-04-10 14:41:55.277643
1457,RIPE,AE,,185.34.2.114,2a00:dd80:3f:50::2,203.0935,17.0,4,2026-04-10 14:41:55.545899
1213,RIPE,AE,,37.252.245.94,2a00:11c0:14:aa3::a,185.16175,17.25,4,2026-04-10 14:41:55.752160
2582,RIPE,AE,,94.207.43.2,2a00:f2f:1106::ffff:5ecf:2b02,208.7175,18.0,4,2026-04-10 14:41:55.872803
6392,RIPE,AE,,37.252.245.94,2a00:11c0:14:aa3::a,182.21025,17.0,4,2026-04-10 14:41:56.769717
6771,RIPE,AE,,91.201.7.243,,163.18975,12.5,4,2026-04-10 14:41:57.065554
6798,RIPE,AE,,185.34.2.114,2a00:dd80:3f:50::2,141.98375,17.0,4,2026-04-10 14:41:57.266825
6962,RIPE,AE,,94.203.76.219,2a00:f28:f::219,158.5875,19.75,4,2026-04-10 14:41:58.172611
6994,RIPE,AE,,94.207.43.2,2a00:f2f:1106::ffff:5ecf:2b02,130.208,18.5,4,2026-04-10 14:41:52.648102
7047,RIPE,AE,,80.77.4.60,2001:1a00:acca:130d::4,127.10225,17.5,4,2026-04-10 14:41:53.748517
7198,RIPE,AE,,63.222.248.5,2400:8800:e011::5,137.20625,20.5,4,2026-04-10 14:41:53.817067
7420,RIPE,AE,,45.148.64.254,2a14:48c7:0:1::feed,135.28075,13.25,4,2026-04-10 14:41:52.968442
3066,RIPE,AR,,190.124.192.162,2801:0:90:25::162,223.1995,16.25,4,2026-04-10 14:41:53.090806
3816,RIPE,AR,,170.210.5.200,2800:110:5::200,225.2325,20.25,4,2026-04-10 14:41:54.259229
4327,RIPE,AR,,200.9.157.207,2001:13c7:600a:208::207,242.33575,18.25,4,2026-04-10 14:41:53.422682
4247,RIPE,AR,,200.63.125.244,2803:700:0:ff0e::244,247.39325,18.0,4,2026-04-10 14:41:54.358749
4240,RIPE,AR,,200.50.248.44,2800:c80:0:ffef::44,271.92075,12.25,4,2026-04-10 14:41:54.514618
4611,RIPE,AR,,131.221.0.60,2801:18:6000:5::83dd:3c,238.3245,15.5,4,2026-04-10 14:41:54.892348
1938,RIPE,AR,,138.204.7.245,2803:2240:1:5:0:f:0:c,244.24525,13.5,4,2026-04-10 14:41:55.277643
